Country;Region;Technology;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Botswana;Africa;Renewable hydropower;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Botswana;Africa;Pumped storage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Botswana;Africa;Marine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Botswana;Africa;Wind;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Botswana;Africa;Onshore wind energy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Botswana;Africa;Offshore wind energy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Botswana;Africa;Solar;0;0;0;0;0;0;0;0;0;0;0.238;0.289;1.092;2.376;2.891;3.326;5.239;5.47;5.992;5.941;5.941;6.128
Botswana;Africa;Solar photovoltaic;0;0;0;0;0;0;0;0;0;0;0.238;0.289;1.092;2.376;2.891;3.326;5.239;5.47;5.992;5.941;5.941;6.128
Botswana;Africa;Concentrated solar power;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Botswana;Africa;Bioenergy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Botswana;Africa;Solid biofuels and renewable municipal waste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Botswana;Africa;Renewable municipal waste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Botswana;Africa;Bagasse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Botswana;Africa;Other solid biofuels;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Botswana;Africa;Liquid biofuels;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Botswana;Africa;Biogas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Botswana;Africa;Geothermal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burkina Faso;Africa;Hydropower;98.268;53.782;63.755;95.892;101.459;100.473;80.668;111.417;135.932;132.297;117.538;81.949;96.646;105.543;90.473;93.462;139.485;127.933;91.447;112.833;119.909;135.016
Burkina Faso;Africa;Renewable hydropower;98.268;53.782;63.755;95.892;101.459;100.473;80.668;111.417;135.932;132.297;117.538;81.949;96.646;105.543;90.473;93.462;139.485;127.933;91.447;112.833;119.909;135.016
Burkina Faso;Africa;Pumped storage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burkina Faso;Africa;Marine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burkina Faso;Africa;Wind;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burkina Faso;Africa;Onshore wind energy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burkina Faso;Africa;Offshore wind energy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burkina Faso;Africa;Solar;0;0;0;0;0;0;0;0;0;0;0.2;0.2;1.1;1.8;2.6;4.1;4.8;14.347;83.192;90.44;88.352;97.6
Burkina Faso;Africa;Solar photovoltaic;0;0;0;0;0;0;0;0;0;0;0.2;0.2;1.1;1.8;2.6;4.1;4.8;14.347;83.192;90.44;88.352;97.6
Burkina Faso;Africa;Concentrated solar power;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burkina Faso;Africa;Bioenergy;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0.15;0.3;0.3;1.3;1.3;1.3;1.3;1.3
Burkina Faso;Africa;Solid biofuels and renewable municipal waste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burkina Faso;Africa;Renewable municipal waste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burkina Faso;Africa;Bagasse;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burkina Faso;Africa;Other solid biofuels;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burkina Faso;Africa;Liquid biofuels;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0.15;0.3;0.3;0.3;0.3;0.3;0.3;0.3
Burkina Faso;Africa;Biogas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
Burkina Faso;Africa;Geothermal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burundi;Africa;Hydropower;96.546;109.877;121.634;97.845;88.409;95.857;150.822;198.488;213.499;201.337;129.809;137.988;144.112;163.737;177.713;170.994;172.824;179.509;240.08;263.561;270.291;270.291
Burundi;Africa;Renewable hydropower;96.546;109.877;121.634;97.845;88.409;95.857;150.822;198.488;213.499;201.337;129.809;137.988;144.112;163.737;177.713;170.994;172.824;179.509;240.08;263.561;270.291;270.291
Burundi;Africa;Pumped storage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burundi;Africa;Marine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burundi;Africa;Wind;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burundi;Africa;Onshore wind energy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burundi;Africa;Offshore wind energy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burundi;Africa;Solar;0;0;0;0;0;0;0;0;0;0;0;0;0.626;0.626;0.626;1.092;2.334;2.956;2.956;2.956;3.266;2.334
